id,name,amt,flag
0,row-0,0,true
1,row-1,1.5,false
2,row-2,3,true
3,row-3,4.5,false
4,row-4,6,true
5,row-5,7.5,false
6,row-6,9,true
7,row-7,10.5,false
8,row-8,12,true
9,row-9,13.5,false
10,row-10,15,true
11,row-11,16.5,false
12,row-12,18,true
13,row-13,19.5,false
14,row-14,21,true
15,row-15,22.5,false
16,row-16,24,true
17,row-17,25.5,false
18,row-18,27,true
19,row-19,28.5,false
20,row-20,30,true
21,row-21,31.5,false
22,row-22,33,true
23,row-23,34.5,false
24,row-24,36,true
25,row-25,37.5,false
26,row-26,39,true
27,row-27,40.5,false
28,row-28,42,true
29,row-29,43.5,false
30,row-30,45,true
31,row-31,46.5,false
32,row-32,48,true
33,row-33,49.5,false
34,row-34,51,true
35,row-35,52.5,false
36,row-36,54,true
37,row-37,55.5,false
38,row-38,57,true
39,row-39,58.5,false
40,row-40,60,true
41,row-41,61.5,false
42,row-42,63,true
43,row-43,64.5,false
44,row-44,66,true
45,row-45,67.5,false
46,row-46,69,true
47,row-47,70.5,false
48,row-48,72,true
49,row-49,73.5,false
50,row-50,75,true
51,row-51,76.5,false
52,row-52,78,true
53,row-53,79.5,false
54,row-54,81,true
55,row-55,82.5,false
56,row-56,84,true
57,row-57,85.5,false
58,row-58,87,true
59,row-59,88.5,false
